sample,cosine_similarity,reconstruction_error
TCGA-05-4244-01A-01D-1105-08,0.9444465343754669,32.63601576499824
TCGA-05-4249-01A-01D-1105-08,0.9387517755128382,49.33723837881209
TCGA-05-4250-01A-01D-1105-08,0.9321462013744168,56.299310759614734
TCGA-05-4382-01A-01D-1931-08,0.9891066919392039,289.67999696015266
TCGA-05-4384-01A-01D-1753-08,0.9003110819666417,21.232536845370568
TCGA-05-4389-01A-01D-1265-08,0.9604660566050481,38.00428401764751
TCGA-05-4390-01A-02D-1753-08,0.9798681930102981,81.38118633055652
TCGA-05-4395-01A-01D-1265-08,0.9585660341219563,49.084870224325094
TCGA-05-4396-01A-21D-1855-08,0.9398192878717037,34.55429112948627
TCGA-05-4397-01A-01D-1265-08,0.982480809749199,121.46896274804298
TCGA-05-4398-01A-01D-1265-08,0.9801568834660054,105.40205707046312
TCGA-05-4402-01A-01D-1265-08,0.9707801364318612,28.64175087728203
TCGA-05-4403-01A-01D-1265-08,0.8840884933078644,21.91942371377595
TCGA-05-4405-01A-21D-1855-08,0.9627984036677337,49.555061083335424
TCGA-05-4410-01A-21D-1855-08,0.9773005560573481,169.11602262531704
TCGA-05-4415-01A-22D-1855-08,0.9470289780320218,34.61298189624696
TCGA-05-4417-01A-22D-1855-08,0.9509397801206229,45.29392464193458
TCGA-05-4418-01A-01D-1265-08,0.9528441551904546,42.81718748226364
TCGA-05-4420-01A-01D-1265-08,0.9713525087232501,44.378027893688284
TCGA-05-4424-01A-22D-1855-08,0.9737445859408719,108.88051640337059
TCGA-05-4427-01A-21D-1855-08,0.9753023060355417,141.24347208829752
TCGA-05-4430-01A-02D-1265-08,0.9509387933137404,36.872342251681324
TCGA-05-4432-01A-01D-1265-08,0.975115413050021,85.59772047380929
TCGA-05-5423-01A-01D-1625-08,0.928788862692881,24.722373195278347
TCGA-05-5425-01A-02D-1625-08,0.9732243675604142,88.724947690572
TCGA-05-5428-01A-01D-1625-08,0.9793957195960478,69.638044954403
TCGA-05-5715-01A-01D-1625-08,0.9535683870606991,30.734566392811992
TCGA-06-5416-01A-01D-1486-08,0.991039651266598,4296.388441476074
TCGA-06-5858-01A-01D-1696-08,0.9644493381543199,81.87710225632131
TCGA-12-0775-01A-01W-0348-08,0.9180512162161806,19.299531708306766
TCGA-12-0829-01A-01W-0424-08,0.9698663177164274,28.91883626008573
TCGA-14-0871-01A-01W-0424-08,0.9110360116243034,16.955079860351624
TCGA-14-1396-01A-01W-0611-08,0.969846975676726,34.35532787938531
TCGA-14-1795-01A-01W-0643-08,0.9799988291853508,46.00481856999835
TCGA-16-0848-01A-01D-1492-08,0.9729088212701825,146.66614941176044
TCGA-16-0848-01A-01W-0424-08,0.9750931871352652,107.08279754375963
TCGA-17-Z000-01A-01W-0746-08,0.9254203410618576,19.956239709196016
TCGA-17-Z001-01A-01W-0746-08,0.9468210210951862,26.99968605537977
TCGA-17-Z003-01A-01W-0746-08,0.9212698287763802,30.102468367634955
TCGA-17-Z010-01A-01W-0746-08,0.9615829408332168,45.49773227797108
TCGA-17-Z011-01A-01W-0746-08,0.8731620289411772,16.585100435120623
TCGA-17-Z015-01A-01W-0746-08,0.964239401674311,68.58879672999835
TCGA-17-Z016-01A-01W-0746-08,0.9727287826891556,46.773268708085965
TCGA-17-Z017-01A-01W-0746-08,0.9264523535754358,29.40274795358974
TCGA-17-Z018-01A-01W-0746-08,0.9457932572254741,42.44076774945477
TCGA-17-Z020-01A-01W-0746-08,0.9491748428429889,19.63445516388761
TCGA-17-Z021-01A-01W-0746-08,0.9273597362316498,20.64623448021346
TCGA-17-Z022-01A-01W-0746-08,0.9831374298799511,178.8597094844301
TCGA-17-Z023-01A-01W-0746-08,0.9476520105254039,56.3353189865799
TCGA-17-Z025-01A-01W-0746-08,0.9424896173414969,40.66305187550934
TCGA-17-Z026-01A-01W-0746-08,0.9907395968366323,208.46363342689247
TCGA-17-Z028-01A-01W-0746-08,0.9613684055638487,72.37475811732064
TCGA-17-Z030-01A-01W-0746-08,0.9725784522081307,85.63794773083585
TCGA-17-Z031-01A-01W-0746-08,0.9862348416215004,352.828542407494
TCGA-17-Z033-01A-01W-0746-08,0.9355259857256132,25.584493260072364
