,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS100,SBS101,SBS102,SBS103,SBS104,SBS105,SBS106,SBS107,SBS108,SBS109,SBS110,n_snv,cancer_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
TCGA-05-4244-01A,0.03529152136067153,0.020679879870684054,0.0,0.4482111265853267,0.0,0.035286697107284944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011931949542980717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03634443739571062,0.0,0.0,0.0,0.03144664880499163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05514707613433428,0.0,0.0,0.04018923953528031,0.0,0.0,0.0,0.0,0.06593121720014128,0.0,0.0,0.018150483803474945,0.0,0.0,0.005496520516792015,0.0,0.0,0.0,0.0,0.03274518148228356,0.00318777230489252,0.0,0.0,0.0,0.04246710971279985,0.01489366818727736,0.0,0.0,0.0,0.01886582965537772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014407593944168325,0.028595227424857567,0.04280140533118603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041773813405831415,0.0,0.0,0.0,0.006718867308652559,2.326335860928751,Lung Adenocarcinoma,0.6464734079983547,0.05257610028194508,-0.15436262242900695,-0.03312806531411499,0.4584768588719167,-0.8846501296604606,0.5754358254237689,1.2796772291322456,1.2332512795686474,0.35440360527455567,0.47366098755047775,0.23887095492374136,-0.041621013232766124,-0.6101458913760085,0.3037098205555202,0.12847022599848698,0.20103760260040182,-0.28986444929585425,0.994856888666202,0.1848806897827713,1.4439146439869683,0.43874959190484425,0.3371510886971321,0.3083636950579877,0.5902505300383083,0.018726312942311512,0.024732767046783757,-0.23974101373986137,0.5959868894101747,-0.17482962876471253,0.30391847567522057,-0.07468660012677683,-0.34849090620871837,0.3797927134361027,0.06897927854177364,0.06306242250437481,0.9434790837219962,0.4495448742663435,1.3817690998396153,-1.3821466509432776,0.8432302775733315,0.7464119465074741,-0.3417357003793315,0.3307507795936715,0.8981307136951476,-0.11560869239431261,0.17968039412226489,0.9292328252942293,-1.1741061449209493,0.6035640696175615
TCGA-05-4249-01A,0.007325857081263703,0.004905836874934087,0.0,0.42721765855941296,0.0,0.019240795725259482,0.0489898173494821,0.0,0.001321890297909913,0.0,0.0,0.0,0.0,0.009352209669549168,0.0,0.0,0.0,0.0,0.034726727942490945,0.0,0.0,0.03859110416443627,0.0,0.0,0.0,0.0,0.0,0.0,0.01866980638258268,0.0,0.0,0.09013469934472679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013285971407339475,0.0,0.010510821587774551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006618092055415608,0.0,0.0,0.0,0.0,0.0,0.009017654071570711,0.04184925236218646,0.0,0.0,0.0,0.0,0.0011216302078620722,0.0,0.0,0.0,0.0,0.01999810109866752,0.0,0.0,0.0,0.015246681072777808,0.08129602304614966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022518076333809755,0.021670813209636635,0.0,0.0,0.03625618208335563,0.0,0.015046486182683803,0.0,0.0,0.011630732964927604,0.0,0.013723347624223373,0.0,0.0,2.506505032404872,Lung Adenocarcinoma,-0.7649735003483515,0.32580349162836314,0.3937061665716438,0.035306143379132064,0.5331552486156365,-1.1166347571060136,-0.045079172694813076,-0.29480890180684727,-0.46904603256872773,0.3020428070838148,0.2653040625417892,-0.7278073853843922,-1.2255260622682262,-0.7339987519509067,0.03800814425085527,-0.12969033168527486,-0.40401168679360705,-1.1857650824906285,-0.2383257561717364,0.6821871295403402,0.8269839551924515,-0.7000424507345157,0.5119664383590351,0.42314583224369123,0.301231649243469,0.10629145222446328,0.1878624345037985,0.9545732519555189,0.2867771844669046,-0.7320223674033814,-1.321687317423573,-0.8688317316357024,-0.5852875205899228,-0.29108688876720246,1.1614365169395344,-0.7891382200906274,0.29180202290551416,0.5065085042210151,0.1866176786398362,-0.08000077050972515,0.4878085882571727,0.20742456212719307,-1.1623820504292341,0.43605655306267915,-0.12400630601841457,-0.6454132668886056,0.33386731387414964,-0.3440761895441544,-0.3140396884325622,-0.06384095260793733
TCGA-05-4250-01A,0.021902311709498516,0.04301413424972691,0.0,0.33262247736643236,0.0,0.0,0.032528814912144835,0.0,0.0,0.0,0.0,0.0,0.0,0.010000507492507233,0.0,0.0,0.0,0.0,0.0424513550146352,0.01395510922953366,0.0,0.0,0.0,0.0,0.0,0.0,0.03447038766559337,0.0,0.0,0.0,0.0,0.09594338417176579,0.0,0.0,0.0,0.0,0.0,0.0,0.07276205940655371,0.0,0.0005755866377182194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04445043607791762,0.0,0.0,0.0,0.0,0.05507268340290089,0.0,0.0,0.0,0.0,0.004209880727275238,0.0,0.0,0.0,0.013556997339350936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004469667364151927,0.0021940209033685324,0.10854774756765562,0.04877086969986419,0.0,0.015547351039997315,0.0,0.0,0.0,0.0,0.0029542180214078904,0.0,0.0,0.0,0.0,2.5728716022004803,Lung Adenocarcinoma,0.32257663735698594,0.8442323087315722,0.6900323468354324,1.4343209441870877,1.0968425039410856,0.9812615079685874,1.607213090963182,-0.8487690690739387,0.18295101061181304,1.1591927443454515,1.0567933904409652,0.5449746472439603,0.815981031609793,0.8484160548447184,-0.23921222263152037,0.09489396025485508,0.18010367910273672,0.7331364206822697,1.4678819792918583,0.6126267034763276,0.02451345015153744,1.344828076695142,1.4022986836982276,0.6171685192686028,1.2319292160525273,0.6445166769447568,0.8027670587588124,-1.3137809620258285,1.6168297306334398,0.8798881485231864,0.9589597360292024,0.9040243186452452,0.9498735406574168,-0.15460751465741845,0.68610580830013,0.20969727741819733,1.395921090351378,1.0463553209488576,0.2752608475313429,-0.05715043465759872,0.47183941571872434,0.3550260358383783,-0.0008575275073414709,1.6018337534430074,1.777554556750333,0.7514565209028657,0.4018390455175228,1.202695960871794,-0.6108027876904567,0.43154619368662006
TCGA-05-4382-01A,0.013388530168967882,0.04639664072825546,0.0,0.7011948366355162,0.0,0.005004177548480071,0.0102377268925035,0.006899526364938605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040006011563213845,0.0,0.0,0.0,0.0010447614872415238,0.0018230622783184246,0.0,0.0,0.0,0.008324416450338792,0.0,0.0,0.0,0.0723041193351236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005335654718051195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004440126429745572,0.0,0.0,0.011833326648564582,0.008845947812390313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048422326341405345,0.0060727008157554115,0.0,0.0,0.0,0.0,0.0,0.0,0.027691878811369336,0.0,0.0,0.00936884122569898,0.014945481451386161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2377949932739227,Lung Adenocarcinoma,-0.4087985964850293,0.8834087073724397,-0.04107219384739249,1.2759036139915745,1.2056504590680668,0.2684592419739636,0.7968244998284005,-1.0760532091250152,0.940674892278163,1.2668855061180315,0.9085845514072931,-0.6261289469890359,-0.684760093428159,1.470584370942777,-0.02384866593745514,-0.22789631540136396,-0.08735876930409064,-0.5961721905269666,0.9402677929729916,0.17284295534786792,0.4823774916116382,1.8524364232384025,0.8631470471641008,1.492455421193162,1.3603935892956918,0.023090121496852214,0.5121081636674603,-0.3685270056891534,1.202131442150047,-0.15043979002801908,0.433253866545783,-0.7162205351336461,-0.9900425088644269,1.2987392117274703,1.3244510733285262,-0.5563014083699208,0.6355604039629758,-0.30628545397826934,-0.5855271224826288,0.03964856320178695,0.3239529544787968,0.42334816500225725,-0.5573425893412886,0.6891656078894428,0.7952214915824543,-0.002826051889607628,0.24489856187100276,-0.2161873539105657,-0.12388392881536701,0.3966237965019735
TCGA-05-4384-01A,0.0,0.03736986455544398,0.0,0.38315490930548485,0.0,0.0,0.0030454876859468266,0.036658029461705925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010507469996922033,0.0,0.015813522967970776,0.0,0.06905476055622332,0.0,0.004032000019881914,0.0,0.0,0.0,0.04455548957511715,0.012066192545378572,0.01148283164670947,0.0,0.0,0.08454678140725616,0.014122508757891854,0.0,0.0,0.0,0.00393654600179537,0.03987134456614282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006694645570372973,0.0,0.0,0.008565137116226827,0.0,0.0,0.017382505150747695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004291332875220932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01734239829898525,0.0718105215042056,0.0,0.0,0.08992670371239404,0.0,0.0,0.0,0.0,0.013769016721975723,0.0,0.0,0.0,0.0,2.1271047983648077,Lung Adenocarcinoma,0.8529430055596152,-0.58912905413595,0.49614561078671615,-0.2661206889339004,0.35366187576936575,-0.7903809834747284,0.002183170467759859,1.1464698241891094,-0.451179093858885,0.6810820725213488,0.2707564403822212,-0.8233563241559153,-1.884883927485182,-0.8372404623643244,0.4633632608193587,0.19748131622626725,1.344195479269809,-1.9144723349649764,-1.1638818799482489,0.3991315459373458,1.9660662134573768,-0.2751158594674234,0.16485905250252622,-0.08658806677602751,0.03480078330173123,-0.7953072583295309,-0.6929066492086465,1.2839696657882929,0.13856293235415443,-0.8084262860312699,-1.3951524080486428,-1.3264962709624044,-1.12632927113791,1.0123040396520058,0.5357198863420227,-0.5267575041822808,0.9672778061546007,0.9269278939061106,0.530255188806432,-0.6144567400374794,0.45456779750132037,1.028380374931544,-1.2862990387511055,0.6557131425036883,0.1050329264755533,-1.735662014597371,0.725213797437641,-0.3797045600609873,1.25632232227913,1.3683240822585325
TCGA-05-4389-01A,0.0646565783743734,0.1363977002950314,0.04111141787404638,0.1231747410165608,0.0,0.0,0.0,0.0,0.0,0.0,0.004015188024982236,0.0,0.0,0.016369992328866795,0.0,0.009259508336949553,0.0,0.0,0.1113457038172847,0.010835274841562973,0.05749746418285453,0.022942362400981055,0.015289823243197513,0.0017643029514361178,0.0,0.0,0.003213731408109567,0.023697782017877797,0.0,0.0,0.0,0.0,0.025950108784437955,0.0,0.0,0.0,0.0,0.0,0.03950140155958201,0.05012826343397266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05382266285982099,0.0,0.0,0.0,0.0,0.0,0.0,0.010243852909950744,0.0,0.01479029530397499,0.0,0.0,0.0,0.0,0.02931300583686832,0.0,0.0,0.0,0.07784591122100097,0.0,0.015915957490954376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014779637803597923,0.01807016315596553,0.0,0.0,0.0,0.0,0.0,0.0078602298407802,0.0,0.00020693868497860334,0.0,0.0,0.0,0.0,2.361727836017593,Lung Adenocarcinoma,1.0716089200163117,0.9126269135456166,0.36144660331445916,-0.852394024328807,-0.3222614488807847,-1.2799440092647052,-0.008717865004522459,1.6744238345327893,0.14212320633986483,0.2818060250178237,0.6615637094812714,0.7345711346956332,0.1888012014622823,-1.1491129875379154,0.24265223743503694,0.5826742989886039,1.7683306159838423,-0.12363551253259036,0.04361155213163591,-0.48481102097871837,1.5267738908127577,-1.1387912323793121,0.9535921682144812,0.8496128175891736,0.30291769123820733,0.3316208761356592,0.5641206646083841,-0.20954399341619595,0.17092898771502962,-0.7864498733534442,0.6301762569382617,0.5399750310499188,0.3873369032453351,-0.42127694189641063,-0.2621769328161354,0.8292300225473163,0.8374374018704782,0.5306161887765146,1.7378005913167813,1.1000502818707154,0.33392783288562145,1.5292632816701586,0.28074899858123903,-0.9681819386446855,-0.7130608703649006,0.2735651599204771,-1.550813257819484,0.2369352001785045,1.3092077193635936,2.2896299535071862
TCGA-05-4390-01A,0.0036361470388894283,0.000895846093920358,0.0,0.5982603825576555,0.0,0.0,0.0,0.01147166416995806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009528791147521372,0.0,0.0,0.003371783406727061,0.0,0.0021336066105466216,0.0,0.0,0.05030202986483203,0.0,0.0,0.0,0.027487332405658923,0.05259517294618761,0.0,0.0,0.0,0.0,0.0,0.004365220922943976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026026497670386263,0.0,0.0,0.0,0.0,0.0,0.005328869516404009,0.0,0.015115885867498437,0.0045747308912783245,0.0,0.0,0.0,0.0,0.028247598592362425,0.0,0.0030894131935534385,0.0,0.0,0.028564347567030694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03821000131895668,0.04648835437064109,0.001208291622082849,0.0,0.039098032224964975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6954816764901977,Lung Adenocarcinoma,0.09005610640703154,-0.6492246536804059,0.5544616868726375,0.472838950348262,-0.27332510716478586,-0.951726114982786,-0.7655346095513411,-0.7200170584167329,0.9260492596556839,0.7533794561375065,-0.5373679765341064,0.6509118034050275,0.8023027130040501,0.44848865084063394,0.37443846983909224,0.6875637028896838,0.5640360433307219,0.7465777593094212,1.3875253290800984,-0.8243377757276993,0.19480475714008894,0.7413123418893495,-0.4621382401749804,-0.13765117330814614,-0.20188211337163556,-1.1362363591810538,-1.0727651519870323,-0.23952187166862554,-0.03123224391380108,-0.5900806759334586,0.7748100756700025,0.8162580784310859,0.8818971934726115,0.4313641836868767,-0.4130160831436037,0.5245438962432222,-0.11760853685107088,1.7420093052066397,0.4148415220497112,-0.7160170713366242,-0.4087257134702666,-0.07964456607934205,0.5933613082853685,-0.5455375270134102,-0.3171699419506778,0.3309168808612665,-0.46060122380796015,0.9424203625351092,0.0761200374396987,0.41927421823522887
TCGA-05-4395-01A,0.006828634645493329,0.1133831406608408,0.0,0.3060020142908394,0.0,0.0,0.029238996418083214,0.0,0.0,0.00030923328802820346,0.0,0.0,0.0,0.037238498517859826,0.0,0.0,0.0,0.0,0.15890469242548827,0.0,0.05516332411479386,0.0,0.001546379682257006,0.0022234535159962993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04712460829873923,0.0,0.0,0.0,0.0013034895052790962,0.0,0.002420454671728965,0.0,0.0051122193071805044,0.0,0.00889528231909884,0.0,0.0,0.004080410671074052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020957101112445947,0.0,0.0032236000443340153,0.009922395604456517,0.010400262490402965,0.012378180124578662,0.0,0.013647942548930213,0.012707551161253744,0.0,0.0,0.0,0.0,0.013758453002163924,0.0,0.0,0.0,0.0,0.0,0.0025437326428635718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07803589307698217,0.041872042610743246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000778013248063966,0.0,0.0,0.0,0.0,2.436162647040756,Lung Adenocarcinoma,1.0851350732294527,0.2975609932757525,0.10454640359587274,-0.7276351577949155,-0.03392490762685596,-0.5397153529041242,0.4523100514976682,-0.7153427935772487,-0.0767826710493641,0.03548720084779548,0.46458674747359163,1.4261468289472028,0.42560170831303445,-0.489693639545779,0.6522429711267227,1.1958658042217662,0.2170158456719367,0.26600924619920674,2.0847838177246865,-0.8012592045411694,-0.03705191005311194,1.1306036796297112,0.4177158977194336,0.11451912154334111,0.8918091947367724,0.532526883071581,0.5162238653008038,-0.7728278656404032,0.342114783765892,-0.9126162065585997,1.1752351090430133,1.0982955268649073,1.2617935609873927,-1.3971193975729568,-1.114473374720313,0.8880235303037198,0.8786273799565495,-0.8107798798579904,0.49478809084735903,0.8566731833873835,0.6485753612069937,1.255143649059831,-0.9663412888320719,0.49672455596347564,1.6432379929568535,1.0713356411008201,-0.5171226734093807,0.896508349495697,-0.5209504850100214,1.4011269328856613
TCGA-05-4396-01A,0.03464408688625342,0.03346998891320469,0.0,0.17311589961244347,0.0,0.0,0.0,0.030897128980720247,0.0,0.0,0.0,0.0,0.0,0.015717392805510287,0.0,0.0,0.0,0.0,0.010454790141051922,0.05446064222276034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005533493848649334,0.050890279827712916,0.0,0.01886441227769207,0.16475953968821314,0.0,0.0,0.0,0.0051739090825105695,0.06163803786383696,0.048972951200441685,0.05281597463903466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041066514549421514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015571708942026984,0.036743467767595676,0.0,0.0,0.0,0.0,0.0023751671336344794,0.0,0.0,0.0,0.0,0.0017981962445161816,0.0,0.0,0.0,0.014022963275199245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04486119089668946,0.0,0.05426560432793812,0.0,0.0,0.0,0.0,0.0,0.02788665887294273,0.0,0.0,0.0,0.0,2.374748346010104,Lung Adenocarcinoma,-0.22326994364939096,-0.9457186519173163,0.8385700429716154,-0.04029219543323189,-0.8020506656904692,-1.461445027626189,-0.9613664562603793,1.2476002576370049,0.555828116797643,0.276849314851408,-0.18603174622738874,-1.2956910093124794,-1.1085286423773113,-1.2674111669503365,0.2556857592980023,0.17273827504179048,1.3296727818427359,-0.9432447979188437,-0.3987160776182568,0.9806537667477143,1.6394801309970406,-0.9276977585170766,-0.2880259311768692,-0.7051799603776926,-0.7543968819279938,-0.36446961011950346,-0.609817353209122,-0.08831414683978345,-0.33778955371211034,-0.5736803972965814,-1.223462916943564,-1.2019950961952652,-1.2364911148250939,-0.610633342006893,-0.18065879295632217,-0.1607242481840522,-0.7842108993508565,2.0115488847710017,0.8769515835955031,0.35963668713960617,1.1569354666569591,-1.0317752542002117,-0.6286018448425114,0.21069462317839724,-0.5516719248157207,-1.0308261525207505,0.31649097889287403,-0.14388753669710477,0.01703476302518631,0.7699118879241299
TCGA-05-4397-01A,0.014730467844770539,0.06191398367656718,0.0,0.34791135700501874,0.0,0.0,0.00807493329481936,0.009451807354891338,0.0,0.0,0.0,0.0,0.011940943764270554,0.016316254674419495,0.0,0.0,0.0,0.0,0.07056712075260256,0.0,0.0,0.0,0.002578621524950794,0.0014216689171238463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04701772108594065,0.0,0.022902309802954657,0.007001879714236275,0.0,0.04847306963292149,0.009331107871838103,0.013187082946637525,0.0,0.0,0.0,0.017076612593054156,0.0,0.008725638319819259,0.0,0.0904932881575369,0.0,0.0,0.0,0.0,0.007874891225353016,0.0,0.0,0.0,0.001331496988664441,0.0,0.0034101408482460314,0.0,0.0,0.0,0.0,0.04134634960973662,0.013241086349941426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04032058325093176,0.0,0.0,0.0,0.0,0.03330382316214734,0.031904667090338026,0.0,0.0,0.018151092540267907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.929418925714293,Lung Adenocarcinoma,1.607519307379832,-0.4067333187945627,-0.5694906362024066,-1.9773460926843187,-1.0570074747145817,0.16241559947266604,-1.0043131119090416,0.8603458693052582,0.9210273281393256,-0.2913709150797692,0.04119688460329659,1.4872248087994209,2.013171671443888,-1.2923851931760664,-1.1247079089215457,-0.19915792181144398,1.6209464467047683,1.7444045306705414,0.8465631820128738,-0.648031208641209,1.3864809074745432,-0.18149916042758144,-0.9621281948246969,0.09333213109712843,-0.3617100498479206,1.3310290459765695,0.8451153421496791,0.019686313799237177,-1.3931335587189932,0.7964012112116028,1.160207757998941,1.2525082332603192,0.11423834144674928,-0.09818121333767856,-1.6831657243019156,1.9439682150527533,-0.5546363892501934,-0.9152464636798889,1.18443606763462,0.10360223270789877,-0.14091917388166536,1.4649156633114462,1.7188519322720297,-2.3209089415693462,-1.184283086019431,0.3514516809869733,-2.2515457023302616,1.4123808015606327,-1.9289937577469536,0.9376194054723465
