sample,cosine_similarity,n_snv,cancer_type
TCGA-17-Z050-01A-01W-0747-08,0.9328786303475,2.2329961103921536,Lung Adenocarcinoma
TCGA-17-Z051-01A-01W-0747-08,0.8735187375372133,2.060697840353612,Lung Adenocarcinoma
TCGA-17-Z052-01A-01W-0747-08,0.8558237994035984,2.03342375548695,Lung Adenocarcinoma
TCGA-17-Z053-01A-01W-0747-08,0.9498537557046643,2.3820170425748683,Lung Adenocarcinoma
TCGA-17-Z055-01A-01W-0747-08,0.9744150111875718,2.785329835010767,Lung Adenocarcinoma
TCGA-17-Z056-01A-01W-0747-08,0.9757743101490188,2.660865478003869,Lung Adenocarcinoma
TCGA-17-Z057-01A-01W-0747-08,0.9870512960222481,2.606381365110605,Lung Adenocarcinoma
TCGA-17-Z059-01A-01W-0747-08,0.931620609778277,2.1903316981702914,Lung Adenocarcinoma
TCGA-17-Z061-01A-01W-0747-08,0.8945046885812773,2.2174839442139063,Lung Adenocarcinoma
TCGA-17-Z062-01A-01W-0747-08,0.9742702048459261,2.6263403673750423,Lung Adenocarcinoma
TCGA-19-0957-02A-11D-2280-08,0.9619669729614456,2.0644579892269186,Glioblastoma Multiforme
TCGA-19-1390-01A-01D-1495-08,0.9287931736998657,2.0293837776852097,Glioblastoma Multiforme
TCGA-19-1390-01A-01W-0922-08,0.944993761572472,2.161368002234975,Glioblastoma Multiforme
TCGA-19-1787-01B-01D-1495-08,0.979975912176907,2.7965743332104296,Glioblastoma Multiforme
TCGA-19-1787-01B-01W-0922-08,0.9852569413703157,2.756636108245848,Glioblastoma Multiforme
TCGA-19-2620-01A-01W-0922-08,0.9525184753636827,2.0253058652647704,Glioblastoma Multiforme
TCGA-19-5956-01A-11D-1696-08,0.9952700500609989,3.894094427322699,Glioblastoma Multiforme
TCGA-32-2616-01A-01D-1495-08,0.9844722305145615,3.049605612594973,Glioblastoma Multiforme
TCGA-32-2616-01A-01W-0922-08,0.9967611106285527,2.8129133566428557,Glioblastoma Multiforme
TCGA-35-4122-01A-01D-1105-08,0.9678227095136434,2.5010592622177517,Lung Adenocarcinoma
TCGA-35-4123-01A-01D-1105-08,0.9614623996248716,2.4683473304121573,Lung Adenocarcinoma
TCGA-35-5375-01A-01D-1625-08,0.9510573467303404,2.6324572921847245,Lung Adenocarcinoma
TCGA-38-4625-01A-01D-1553-08,0.9591583315901921,2.767897616018091,Lung Adenocarcinoma
TCGA-38-4626-01A-01D-1553-08,0.9432279405453303,2.278753600952829,Lung Adenocarcinoma
TCGA-38-4628-01A-01D-1265-08,0.927469905594109,2.0530784434834195,Lung Adenocarcinoma
TCGA-38-4629-01A-02D-1265-08,0.9500384894919383,2.4456042032735974,Lung Adenocarcinoma
TCGA-38-4630-01A-01D-1265-08,0.9758487157443564,2.0863598306747484,Lung Adenocarcinoma
TCGA-38-4631-01A-01D-1753-08,0.9697501243907359,2.8432327780980096,Lung Adenocarcinoma
TCGA-38-4632-01A-01D-1753-08,0.9627789471858064,2.699837725867246,Lung Adenocarcinoma
TCGA-3C-AALI-01A-11D-A41F-09,0.9859807525619746,2.7283537820212285,Breast Invasive Carcinoma
TCGA-44-2655-01A-01D-1553-08,0.9523418894352074,2.2430380486862944,Lung Adenocarcinoma
TCGA-44-2655-01A-01W-0928-08,0.9476269739261332,2.2528530309798933,Lung Adenocarcinoma
TCGA-44-2656-01A-02D-0969-08,0.9727805089634738,2.9425041061680806,Lung Adenocarcinoma
TCGA-44-2656-01A-02D-A271-08,0.9734776349805819,2.9020028913507296,Lung Adenocarcinoma
TCGA-44-2656-01A-02W-0928-08,0.9743589032301947,2.888179493918325,Lung Adenocarcinoma
TCGA-44-2656-01A-12D-A27T-08,0.9700030204777871,2.92272545799326,Lung Adenocarcinoma
TCGA-44-2656-01A-41D-A27T-08,0.9770765815125679,2.931966114728173,Lung Adenocarcinoma
TCGA-44-2656-01B-06D-A271-08,0.9819018247004876,2.8573324964312685,Lung Adenocarcinoma
TCGA-44-2657-01A-01D-1105-08,0.9771493852065988,2.5774917998372255,Lung Adenocarcinoma
TCGA-44-2662-01A-01D-0969-08,0.9795360851799771,2.3384564936046046,Lung Adenocarcinoma
TCGA-44-2662-01A-01D-A271-08,0.9740641472801828,2.3201462861110542,Lung Adenocarcinoma
TCGA-44-2662-01A-01W-0928-08,0.9794300478515775,2.296665190261531,Lung Adenocarcinoma
TCGA-44-2662-01B-02D-A271-08,0.9711847224091034,2.2624510897304293,Lung Adenocarcinoma
TCGA-44-2668-01A-01D-0969-08,0.9611910535897876,2.583198773968623,Lung Adenocarcinoma
TCGA-44-2668-01A-01D-A271-08,0.9459681165396439,2.537819095073274,Lung Adenocarcinoma
TCGA-44-2668-01A-01W-0928-08,0.9608211458936031,2.576341350205793,Lung Adenocarcinoma
TCGA-44-2668-01B-02D-A271-08,0.9213555219736235,2.3364597338485296,Lung Adenocarcinoma
TCGA-44-3396-01A-01D-1553-08,0.9227866508507071,2.247973266361807,Lung Adenocarcinoma
TCGA-44-3398-01A-01D-1105-08,0.8931085394851521,2.2227164711475833,Lung Adenocarcinoma
TCGA-44-3917-01A-01D-A271-08,0.9485638834696123,2.3443922736851106,Lung Adenocarcinoma
TCGA-44-3917-01B-02D-A271-08,0.9482207896666915,2.3560258571931225,Lung Adenocarcinoma
TCGA-44-3918-01A-01D-1105-08,0.9690864810874383,2.950364854376123,Lung Adenocarcinoma
TCGA-44-3918-01A-01D-A271-08,0.9694459684936154,2.9661417327390325,Lung Adenocarcinoma
TCGA-44-3918-01B-02D-A271-08,0.9756891927946827,2.9489017609702137,Lung Adenocarcinoma
TCGA-44-4112-01A-01D-1105-08,0.9688836643292523,2.625312450961674,Lung Adenocarcinoma
TCGA-44-4112-01A-01D-1458-08,0.9674284905588931,2.645422269349092,Lung Adenocarcinoma
TCGA-44-4112-01A-01D-A271-08,0.9660979391196705,2.6334684555795866,Lung Adenocarcinoma
TCGA-44-4112-01A-22D-A27T-08,0.9721966096834983,2.6599162000698504,Lung Adenocarcinoma
TCGA-44-4112-01A-31D-A27T-08,0.9721026206976563,2.690196080028514,Lung Adenocarcinoma
TCGA-44-4112-01B-06D-A271-08,0.968733351133965,2.534026106056135,Lung Adenocarcinoma
TCGA-44-5643-01A-01D-1625-08,0.8805939970388144,2.123851640967086,Lung Adenocarcinoma
TCGA-44-5644-01A-21D-2036-08,0.9754477380850645,2.9849771264154934,Lung Adenocarcinoma
TCGA-44-6144-01A-11D-1753-08,0.9202987660684424,2.361727836017593,Lung Adenocarcinoma
TCGA-44-6145-01A-11D-1753-08,0.8964117057296187,2.496929648073215,Lung Adenocarcinoma
TCGA-44-6147-01A-11D-1753-08,0.9174444106418082,2.2405492482826,Lung Adenocarcinoma
TCGA-44-6147-01A-11D-A271-08,0.9236130946272247,2.27415784926368,Lung Adenocarcinoma
TCGA-44-6147-01A-21D-A27T-08,0.9337463733205408,2.342422680822206,Lung Adenocarcinoma
TCGA-44-6147-01A-31D-A27T-08,0.8834338955921325,2.0530784434834195,Lung Adenocarcinoma
TCGA-44-6147-01B-06D-A271-08,0.9047723772266022,2.167317334748176,Lung Adenocarcinoma
TCGA-44-6774-01A-21D-1855-08,0.930463425860727,2.419955748489758,Lung Adenocarcinoma
TCGA-44-6776-01A-11D-1855-08,0.916534425283859,2.2528530309798933,Lung Adenocarcinoma
TCGA-44-6777-01A-11D-1855-08,0.9685996338594186,2.530199698203082,Lung Adenocarcinoma
